School,Department,Course_Type,Course,Duration,Eligibiliy,Fee
School of Art & Humanities,Education,Post Graduate,MA (Economics),2 Years,,
School of Art & Humanities,Education,Post Graduate,MA (Education),2 Years,,
School of Art & Humanities,English,Doctorate,M.Phil English,2 Years,,
School of Art & Humanities,English,Post Graduate,MA(Eng),2 Years,,
School of Art & Humanities,English,Doctorate,Ph.D English,5 Years,,
School of Art & Humanities,Fashion Design,Under Graduate,B.Design (Fashion),4 Years,,20000
School of Art & Humanities,Journalism & Mass Communication,Post Graduate,MA (Journalism & Mass Communication),2 Years,,
School of Art & Humanities,Journalism & Mass Communication,Under Graduate,BA,3 Years,,10500
School of Art & Humanities,Journalism & Mass Communication,Under Graduate,BA (Journalism and Mass Communication),3 Years,,23625
School of Art & Humanities,Journalism & Mass Communication,Doctorate,Ph.D Mass Communication,5 Years,,
School of Art & Humanities,Journalism & Mass Communication,Doctorate,Ph.D General Arts,5 Years,,
School of Art & Humanities,Journalism & Mass Communication,Doctorate,Ph.D Economics,5 Years,,
School of Art & Humanities,Psychology,Post Graduate,MA (Psychology),2 Years,,
School,Department,Course_Type,Course,Duration,Eligibiliy,Fee
School of Commerce & Management,Business Studies,Doctorate,M.Phil Management,2 Years,,
School of Commerce & Management,Business Studies,Post Graduate,MBA (Travel & Tourism),2 Years,,
School of Commerce & Management,Business Studies,Post Graduate,MBA,2 Years,,
School of Commerce & Management,Business Studies,Post Graduate,MHA,2 Years,,
School of Commerce & Management,Business Studies,Post Graduate,MBA (Avaition),3 Years,,
School of Commerce & Management,Business Studies,Under Graduate,BBA,3 Years,,
School of Commerce & Management,Business Studies,Under Graduate,BBA(Travel & Tourism),3 Years,,
School of Commerce & Management,Business Studies,Under Graduate,BHA,3 Years,,
School of Commerce & Management,Business Studies,Under Graduate,BBA (Avaition),3 Years,,
School of Commerce & Management,Business Studies,Diploma,Integrated Program-BBA & MBA (Pharmaceutical Chemistry),5 Years,,
School of Commerce & Management,Business Studies,Diploma,Integrated Program-BBA & MBA,5 Years,,
School of Commerce & Management,Business Studies,Doctorate,Ph.D Management,5 Years,,
School of Commerce & Management,Commerce,Doctorate,M.Phil Commerce,2 Years,,
School of Commerce & Management,Commerce,Post Graduate,M.com,2 Years,,
School of Commerce & Management,Commerce,Under Graduate,B.Com,3 Years,,
School of Commerce & Management,Commerce,Doctorate,Ph.D Commerce,5 Years,,
School,Department,Course_Type,Course,Duration,Eligibiliy,Fee
School of Computer Application,Computer Science & Applicaton,Doctorate,M.Phil Computer Application,2 Years,,
